name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan,successful_transfer
Salvi Sánchez,Right Winger,31,2,Spain,LaLiga,Cádiz CF,Spain,LaLiga,Rayo Vallecano,0,FALSE,0
Mile Svilar,Goalkeeper,22,2,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AS Roma,0,FALSE,1
Lovre Kalinic,Goalkeeper,32,2,England,Premier League,Aston Villa,Croatia,SuperSport HNL,HNK Hajduk Split,0,FALSE,0
Andre Gray,Centre-Forward,31,2,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,0,FALSE,0
Xavi Quintillà,Left-Back,25,2,Spain,LaLiga,Villarreal CF,Portugal,Liga Portugal,CD Santa Clara,0,FALSE,0
Sidnei,Centre-Back,32,2,Brazil,Série A,Goiás Esporte Clube,Spain,LaLiga2,UD Las Palmas,0,FALSE,0
Rafael Camacho,Right Winger,22,2,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Aris Thessaloniki,0,TRUE,0
Francesco Vicari,Centre-Back,27,2,Italy,Serie B,SPAL,Italy,Serie B,SSC Bari,0,FALSE,0
Arturo Vidal,Central Midfield,35,2,Italy,Serie A,Inter Milan,Brazil,Série A,Clube de Regatas do Flamengo,0,FALSE,0
Robert Zulj,Attacking Midfield,30,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,Austria,Bundesliga,LASK,0,FALSE,0
Auston Trusty,Centre-Back,23,2,England,Premier League,Arsenal FC,England,Championship,Birmingham City,0,TRUE,0
Paolo Ghiglione,Right Midfield,25,2,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,0,FALSE,0
Santiago Ormeño,Centre-Forward,28,2,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Guadalajara,0,TRUE,0
Darío Sarmiento,Right Winger,19,2,England,Premier League 2,Manchester City U21,Uruguay,Primera División,Montevideo City Torque,0,TRUE,0
Carlos Clerc,Left-Back,30,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,0,FALSE,0
Roberto Massimo,Left Winger,21,2,Germany,Bundesliga,VfB Stuttgart,Portugal,Liga Sabseg,Académico Viseu FC,0,TRUE,0
Will Smallbone,Central Midfield,22,2,England,Premier League,Southampton FC,England,Championship,Stoke City,0,TRUE,1
Mailson,Goalkeeper,25,2,Brazil,Série B,Sport Club do Recife,Saudi Arabia,Professional League,Al-Taawoun FC,0,FALSE,0
Jonathan Menéndez,Left Winger,28,2,United States,MLS,Real Salt Lake City,Argentina,Liga Profesional,CA Vélez Sarsfield,0,TRUE,0
Samuele Mulattieri,Centre-Forward,21,2,Italy,Serie A,Inter Milan,Italy,Serie B,Frosinone Calcio,0,TRUE,0
Álvaro Fernandez,Left-Back,19,2,England,Premier League,Manchester United,England,Championship,Preston North End,0,TRUE,0
Abdulkadir Parmak,Central Midfield,27,2,Turkey,Süper Lig,Trabzonspor,Turkey,Süper Lig,Gaziantep FK,0,TRUE,0
Gabriel Noga,Centre-Back,20,2,Brazil,Série A,Clube de Regatas do Flamengo,Brazil,Série B,Esporte Clube Bahia,0,TRUE,0
Tomás Araújo,Centre-Back,20,2,Portugal,Liga Sabseg,SL Benfica B,Portugal,Liga Portugal,Gil Vicente FC,0,TRUE,0
Maxime Leverbe,Centre-Back,25,2,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,UC Sampdoria,0,TRUE,1
Mikael,Centre-Forward,23,2,Italy,Serie A,US Salernitana 1919,Brazil,Série A,Sport Club Internacional,0,TRUE,0
Fabio Abreu,Centre-Forward,29,2,Saudi Arabia,Professional League,Al-Batin FC,United Arab Emirates,UAE Pro League,Khor Fakkan,0,FALSE,0
Vicente Iborra,Defensive Midfield,34,2,Spain,LaLiga,Villarreal CF,Spain,LaLiga2,Levante UD,0,TRUE,0
Florian Lejeune,Centre-Back,31,2,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,Rayo Vallecano,0,TRUE,0
Daniel Maldini,Attacking Midfield,20,2,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,0,TRUE,1
Rodrigo Riquelme,Right Winger,22,2,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Girona FC,0,TRUE,0
Thuler,Centre-Back,23,2,Brazil,Série A,Clube de Regatas do Flamengo,Japan,J1 League,Vissel Kobe,0,TRUE,0
Wilder Cartagena,Defensive Midfield,27,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,United States,MLS,Orlando City SC,0,TRUE,0
Charlie Patino,Central Midfield,18,2,England,Premier League 2,Arsenal FC U21,England,Championship,Blackpool FC,0,TRUE,0
Nicolò Cambiaghi,Left Winger,21,2,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,0,TRUE,0
Matt Miazga,Centre-Back,27,2,England,Premier League,Chelsea FC,United States,MLS,FC Cincinnati,0,FALSE,0
Luan,Attacking Midfield,29,2,Brazil,Série A,Sport Club Corinthians Paulista,Brazil,Série A,Santos FC,0,TRUE,0
Yassine Meriah,Centre-Back,29,2,United Arab Emirates,UAE Pro League,Al-Ain FC,Tunisia,Ligue I Pro,Esperance Tunis,0,FALSE,0
Omar Al-Somah,Centre-Forward,33,2,Saudi Arabia,Without League,Al-Ahli Saudi FC,Qatar,Stars League,Al-Arabi SC,0,TRUE,0
Santiago Naveda,Defensive Midfield,21,2,Mexico,Liga MX Apertura,CF América,Poland,Ekstraklasa,Miedz Legnica,0,TRUE,0
Pedro Rocha,Left Winger,27,2,Russia,Premier Liga,Spartak Moscow,Brazil,Série A,Fortaleza Esporte Clube,0,FALSE,0
Philippe Sandler,Centre-Back,25,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,NEC Nijmegen,0,FALSE,0
Federico Ricca,Left-Back,27,2,Belgium,Jupiler Pro League,Club Brugge KV,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0,FALSE,0
Tariqe Fosu,Left Winger,26,2,England,Premier League,Brentford FC,England,Championship,Stoke City,0,TRUE,1
Davide Bettella,Centre-Back,22,2,Italy,Serie A,AC Monza,Italy,Serie B,Palermo FC,0,TRUE,0
Maximiliano Lovera,Left Winger,23,2,Greece,Super League 1,Olympiacos Piraeus,Greece,Super League 1,Ionikos Nikeas,0,TRUE,0
Samuel Umtiti,Centre-Back,28,2,Spain,LaLiga,FC Barcelona,Italy,Serie A,US Lecce,0,TRUE,0
Papa Ndiaga Yade,Left Winger,22,2,France,Ligue 2,FC Metz,France,Ligue 1,ESTAC Troyes,0,TRUE,0
Steven Caulker,Centre-Back,30,2,Turkey,Süper Lig,Fenerbahce,Turkey,Süper Lig,Fatih Karagümrük,0,FALSE,0
Anthony Kalik,Defensive Midfield,24,2,Croatia,SuperSport HNL,HNK Gorica,Croatia,SuperSport HNL,HNK Hajduk Split,0,FALSE,0
Luís Oyama,Defensive Midfield,25,2,Brazil,Série A,Botafogo de Futebol e Regatas,Belgium,Challenger Pro League,RWD Molenbeek,0,TRUE,0
Ian Poveda,Right Winger,22,2,England,Premier League,Leeds United,England,Championship,Blackpool FC,0,TRUE,0
Youssouf Koné,Left-Back,27,2,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,0,TRUE,0
Mateusz Zukowski,Right-Back,20,2,Scotland,Premiership,Rangers FC,Poland,Ekstraklasa,Lech Poznan,0,TRUE,0
Filippo Melegoni,Central Midfield,23,2,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Standard Liège,0,TRUE,0
Darko Velkovski,Centre-Back,27,2,Croatia,SuperSport HNL,HNK Rijeka,Saudi Arabia,Professional League,Ettifaq FC,0,FALSE,0
Luca Zidane,Goalkeeper,24,2,Spain,LaLiga,Rayo Vallecano,Spain,LaLiga2,SD Eibar,0,FALSE,0
Mateo Klimowicz,Attacking Midfield,22,2,Germany,Bundesliga,VfB Stuttgart,Germany,2. Bundesliga,Arminia Bielefeld,0,TRUE,1
Ibrahim Amadou,Defensive Midfield,29,2,France,Ligue 2,FC Metz,France,Ligue 1,Angers SCO,0,FALSE,1
Jean-Daniel Akpa Akpro,Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,0,TRUE,0
Paulo Gazzaniga,Goalkeeper,30,2,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,0,TRUE,0
Gianluca Frabotta,Left-Back,23,2,Italy,Serie A,US Lecce,Italy,Serie B,Frosinone Calcio,0,TRUE,0
Bruno Amione,Centre-Back,20,2,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,0,TRUE,1
Maxime Leverbe,Centre-Back,25,2,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,0,TRUE,0
Rober González,Right Winger,21,2,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga2,Deportivo Alavés,0,TRUE,0
